Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearWorked,TenureRatio,ManagerStability,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
47,1225,2,4,2,47,4,4,2,15972,21086,6,14,3,3,3,29,2,3,3,2,1,2,532.4,0.1,0.5,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,594,2,1,3,100,3,1,4,2523,19299,0,14,3,3,1,3,2,3,2,1,2,1,630.75,0.5,0.3333333333333333,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
46,406,3,1,1,52,3,4,3,17465,15596,3,12,3,4,1,23,3,3,12,9,4,9,727.7083333333334,0.5,0.6923076923076923,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
25,622,13,1,2,40,3,1,3,2096,26376,1,11,3,3,0,7,1,3,7,4,0,6,262.0,0.875,0.75,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
43,1001,9,5,4,72,3,2,3,5679,19627,3,13,3,2,1,10,3,3,8,7,4,7,516.2727272727273,0.7272727272727273,0.7777777777777778,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
28,1157,2,4,1,84,1,1,4,3464,24737,5,13,3,4,0,5,4,2,3,2,2,2,577.3333333333334,0.5,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
51,833,1,3,3,96,3,1,4,2723,23231,1,11,3,2,0,1,0,2,1,0,0,0,1361.5,0.5,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
43,1082,27,3,3,83,3,3,1,10820,11535,8,11,3,3,1,18,1,3,8,7,0,1,569.4736842105264,0.42105263157894735,0.1111111111111111,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,118,14,2,4,84,3,2,1,4639,11262,1,15,3,3,1,5,2,3,5,4,1,2,773.1666666666666,0.8333333333333334,0.3333333333333333,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
27,205,10,3,4,98,2,2,4,5769,7100,1,11,3,4,0,6,3,3,6,2,4,4,824.1428571428571,0.8571428571428571,0.5714285714285714,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
36,1218,9,4,3,82,2,1,1,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3,309.72727272727275,0.45454545454545453,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
29,694,1,3,4,87,2,4,4,16124,3423,3,14,3,2,2,9,2,2,7,7,1,7,1612.4,0.7,0.875,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,549,8,4,4,75,3,2,4,3697,9278,9,14,3,1,2,12,3,3,10,9,9,8,284.38461538461536,0.7692307692307693,0.7272727272727273,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
23,507,20,1,1,97,3,2,3,2272,24812,0,14,3,2,0,5,2,3,4,3,1,2,378.6666666666667,0.6666666666666666,0.4,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
34,669,1,3,4,97,2,2,1,5343,25755,0,20,4,3,0,14,3,3,13,9,4,9,356.2,0.8666666666666667,0.6428571428571429,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,303,2,3,2,47,2,1,4,1102,9241,1,22,4,3,0,1,3,2,1,0,1,0,551.0,0.5,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
44,621,15,3,1,73,3,3,4,7978,14075,1,11,3,4,1,10,2,3,10,7,0,5,725.2727272727273,0.9090909090909091,0.45454545454545453,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,1169,14,4,3,64,3,2,2,5467,2125,8,18,3,3,1,16,4,4,8,7,1,7,321.5882352941176,0.47058823529411764,0.7777777777777778,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
31,218,7,3,2,100,4,2,4,6929,12241,4,11,3,2,1,10,3,2,8,7,7,7,629.9090909090909,0.7272727272727273,0.7777777777777778,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
46,638,1,3,3,40,2,3,1,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5,485.1363636363636,0.45454545454545453,0.45454545454545453,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
33,117,9,3,1,60,3,1,4,2781,6311,0,13,3,2,1,15,5,3,14,10,4,10,173.8125,0.875,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
38,702,1,4,1,59,2,2,4,8686,12930,4,22,4,3,0,12,2,4,8,3,0,7,668.1538461538462,0.6153846153846154,0.7777777777777778,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,1396,5,2,4,62,3,2,2,5914,9945,8,16,3,4,0,16,3,4,13,11,3,7,347.88235294117646,0.7647058823529411,0.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
46,991,1,2,4,44,3,1,1,3423,22957,6,12,3,3,0,10,3,4,7,6,5,7,311.1818181818182,0.6363636363636364,0.875,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,447,5,3,2,85,4,2,2,6870,15530,3,12,3,1,0,11,3,1,3,2,1,2,572.5,0.25,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,654,21,3,3,43,4,1,4,2678,5050,1,17,3,4,0,2,2,3,2,1,2,2,892.6666666666666,0.6666666666666666,0.6666666666666666,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
31,1003,5,3,1,51,3,2,3,8346,20943,1,19,3,3,1,6,3,3,5,2,0,2,1192.2857142857142,0.7142857142857143,0.3333333333333333,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
31,976,3,2,3,48,3,1,1,3065,3995,1,13,3,4,1,4,3,4,4,2,2,3,613.0,0.8,0.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
46,1402,2,3,3,69,3,4,1,17048,24097,8,23,4,1,0,28,2,3,26,15,15,9,587.8620689655172,0.896551724137931,0.3333333333333333,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53,1070,3,4,3,45,3,4,3,17584,21016,3,16,3,4,3,21,5,2,5,3,1,3,799.2727272727273,0.22727272727272727,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
